time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1336.035,0,0,0,0,0,0
1336.036,0,0,0,0,0,0
1336.037,0,0,0,0,0,0
1336.038,0,0,0,0,0,0
1336.039,0,0,0,0,0,0
1336.04,0,0,0,0,0,0
1336.041,0,0,0,0,0,0
1336.042,0,0,0,0,0,0
1336.043,0,0,0,0,0,0
1336.044,0,0,0,0,0,0
1336.045,0,0,0,0,0,0
1336.046,0,0,0,0,0,0
1336.047,0,0,0,0,0,0
1336.048,0,0,0,0,0,0
1336.049,0,0,0,0,0,0
1336.05,0,0,0,0,0,0
1336.051,0,0,0,0,0,0
1336.052,0,0,0,0,0,0
1336.053,0,0,0,0,0,0
1336.054,0,0,0,0,0,0
1336.055,0,0,0,0,0,0
1336.056,0,0,0,0,0,0
1336.057,0,0,0,0,0,0
1336.058,0,0,0,0,0,0
1336.059,0,0,0,0,0,0
1336.06,0,0,0,0,0,0
1336.061,0,0,0,0,0,0
1336.062,0,0,0,0,0,0
1336.063,0,0,0,0,0,0
1336.064,0,0,0,0,0,0
1336.065,0,0,0,0,0,0
1336.066,0,0,0,0,0,0
1336.067,0,0,0,0,0,0
1336.068,0,0,0,0,0,0
1336.069,0,0,0,0,0,0
1336.07,0,0,0,0,0,0
1336.071,0,0,0,0,0,0
1336.072,0,0,0,0,0,0
1336.073,0,0,0,0,0,0
1336.074,0,0,0,0,0,0
1336.075,0,0,0,0,0,0
1336.076,0,0,0,0,0,0
1336.077,0,0,0,0,0,0
1336.078,0,0,0,0,0,0
1336.079,0,0,0,0,0,0
1336.08,0,0,0,0,0,0
1336.081,0,0,0,0,0,0
1336.082,0,0,0,0,0,0
1336.083,0,0,0,0,0,0
1336.084,0,0,0,0,0,0
1336.085,0,0,0,0,0,0
1336.086,0,0,0,0,0,0
1336.087,0,0,0,0,0,0
1336.088,0,0,0,0,0,0
1336.089,0,0,0,0,0,0
1336.09,0,0,0,0,0,0
1336.091,0,0,0,0,0,0
1336.092,0,0,0,0,0,0
1336.093,0,0,0,0,0,0
1336.094,0,0,0,0,0,0
1336.095,0,0,0,0,0,0
1336.096,0,0,0,0,0,0
1336.097,0,0,0,0,0,0
1336.098,0,0,0,0,0,0
1336.099,0,0,0,0,0,0
1336.1,0,0,0,0,0,0
1336.101,0,0,0,0,0,0
1336.102,0,0,0,0,0,0
1336.103,0,0,0,0,0,0
1336.104,0,0,0,0,0,0
1336.105,0,0,0,0,0,0
1336.106,0,0,0,0,0,0
1336.107,0,0,0,0,0,0
1336.108,0,0,0,0,0,0
1336.109,0,0,0,0,0,0
1336.11,0,0,0,0,0,0
1336.111,0,0,0,0,0,0
1336.112,0,0,0,0,0,0
1336.113,0,0,0,0,0,0
1336.114,0,0,0,0,0,0
1336.115,0,0,0,0,0,0
1336.116,0,0,0,0,0,0
1336.117,0,0,0,0,0,0
1336.118,0,0,0,0,0,0
1336.119,0,0,0,0,0,0
1336.12,0,0,0,0,0,0
1336.121,0,0,0,0,0,0
1336.122,0,0,0,0,0,0
1336.123,0,0,0,0,0,0
1336.124,0,0,0,0,0,0
1336.125,0,0,0,0,0,0
1336.126,0,0,0,0,0,0
1336.127,0,0,0,0,0,0
1336.128,0,0,0,0,0,0
